agreement_from,end_date,title,entity_code,person_indication,agreement,person,amount,other_party_of_agreement,start_date,description
Notarinė,,NORDEA BANK FINLAND PLC LIETUVOS SKYRIUS,112025592,Deklaruojantysis ir sutuoktinis,Paskola (gauta),ELIGIJUS MASIULIS,430000,"Juridiniai asmenys, registruoti Lietuvoje",2010-12-15,PASKOLA BŪSTUI
Rašytinė,,AB DNB NORD BANKAS,,Deklaruojantysis,Paskola (gauta),ALGIRDAS BUTKEVIČIUS,148451,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-02,PINIGAI
Rašytinė,2013-10-30,AB SEB BANKAS,112021238,Deklaruojantysis,Indėlis,KRISTINA MIŠKINIENĖ,28000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-30,TERMINUOTAS INDĖLIS
Rašytinė,2012-08-08,"UŽDAROJI AKCINĖ BENDROVĖ ""KREDORA""",148228566,Deklaruojantysis,Pirkimas,ALDONA VORIENĖ,95000,"Juridiniai asmenys, registruoti Lietuvoje",2012-08-08,AUTOMOBILIO PIRKIMAS
Žodinė,2012-08-08,VLADISLOVAS KAZAKEVIČIUS,,Deklaruojantysis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",ALDONA VORIENĖ,95000,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-08,DOVANA
Notarinė,2017-08-09,DANSKE BANK A/S LIETUVOS FILIALAS,301694694,Deklaruojantysis,Paskola (gauta),RASA PAJARSKIENĖ,175001,"Juridiniai asmenys, registruoti Lietuvoje",2006-05-17,PASKOLA BŪSTUI
Notarinė,2031-05-17,DANSKE BANK A/S LIETUVOS FILIALAS,301694694,Deklaruojantysis,Paskola (gauta),RASA PAJARSKIENĖ,139997,"Juridiniai asmenys, registruoti Lietuvoje",2007-03-02,PASKOLA BŪSTUI
Notarinė,2031-05-17,DANSKE BANK A/S LIETUVOS FILIALAS,301694694,Deklaruojantysis,Paskola (gauta),RASA PAJARSKIENĖ,100000,"Juridiniai asmenys, registruoti Lietuvoje",2008-04-28,PASKOLA BŪSTUI
Rašytinė,,VALSTYBINIS STUDIJŲ FONDAS,191722967,Deklaruojantysis ir sutuoktinis,Paskola (gauta),DARIUS SKUSEVIČIUS,11000,"Juridiniai asmenys, registruoti Lietuvoje",2003-01-01,STUDIJŲ PASKOLA
Rašytinė,,AB SWEDBANK,,Deklaruojantysis ir sutuoktinis,Paskola (gauta),DARIUS SKUSEVIČIUS,39000,"Juridiniai asmenys, registruoti Lietuvoje",2009-01-01,PASKOLOS
Notarinė,,AB SEB VILNIAUS BANKAS,112021238,Deklaruojantysis,Paskola (gauta),INESA KARSTEN,153709,"Juridiniai asmenys, registruoti Lietuvoje",2006-09-12,KREDITAS BŪSTUI PIRKTI
Rašytinė,,FRIEDRICH GUNTER,,Deklaruojantysis,Pirkimas,ALGIRDAS NAVICKAS,10500,"Fiziniai asmenys, registruoti Lietuvoje",2011-09-18,AUTOMOBILIS
Rašytinė,,AB SWEDBANKAS,,Deklaruojantysis,Vertybinių popierių sandoriai,ELENA ČEKIENĖ,25000,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-03,VERTYBINIAI POPIERIAI
Rašytinė,,AB SWEBBANKAS,,Deklaruojantysis,Paskola (gauta),ELENA ČEKIENĖ,50460,"Juridiniai asmenys, registruoti Lietuvoje",2007-12-14,PINIGAI
Rašytinė,,"""SWEDBANK"" AB",112029651,Deklaruojantysis,Indėlis,PETRAS PAPOVAS,3033,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-29,TERMINUOTAS INDĖLIS
Rašytinė,,"""SWEDBANK"" AB",112029651,Deklaruojantysis,Indėlis,PETRAS PAPOVAS,17115,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-05,TERMINUOTAS INDĖLIS
Rašytinė,,"""SWEDBANK"" AB",112029651,Sutuoktinis,Indėlis,PETRAS PAPOVAS,17179,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-05,TERMINUOTAS INDĖLIS
Notarinė,2025-05-28,SWEDBANKAS AB,112029651,Deklaruojantysis,Paskola (gauta),ALGIRDAS MEŠKAUSKAS,144500,"Juridiniai asmenys, registruoti Lietuvoje",2004-05-28,PINIGAI
Rašytinė,,"""SWEDBANK"" AB",112029651,Sutuoktinis,Indėlis,PETRAS PAPOVAS,17264,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-05,TERMINUOTAS INDĖLIS
Rašytinė,,"""SWEDBANK"" AB",112029651,Sutuoktinis,Indėlis,PETRAS PAPOVAS,15309,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-12,TERMINUOTAS INDĖLIS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Paskola (gauta),ALVYDAS ŽALA,39300,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-04,PINIGAI
Rašytinė,,ŠILALĖS KREDITO UNIJA,112046953,Deklaruojantysis,Paskola (gauta),GENOVAITĖ EŽERSKIENĖ,41535,"Juridiniai asmenys, registruoti Lietuvoje",2007-12-20,PINIGAI
Rašytinė,2011-01-05,UAB BALTIJOS -AMERIKOS FINANSINIŲ PASLAUGŲ HOLDINGAS,,Deklaruojantysis,Pardavimas,ROMAS ADOMAVIČIUS,30000,"Juridiniai asmenys, registruoti Lietuvoje",2011-01-05,"UAB""MERWAL"" AKCIJOS"
Rašytinė,2019-05-06,UAB SEB GYVYBĖS DRAUDIMAS,110076645,Deklaruojantysis,Draudimas,VYTAUTAS SAULIS,30000,"Juridiniai asmenys, registruoti Lietuvoje",2010-05-06,GYVYBĖS DRAUDIMAS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Pardavimas,VIOLETA BOREIKIENĖ,112821,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-30,PARDUOTA 32 VNT OBLIGACIJŲ
Rašytinė,,"AB ""SEB LIZINGAS""",123051535,Deklaruojantysis,Išsimokėtinas pirkimas,VILIJA VERTELIENĖ,191748,"Juridiniai asmenys, registruoti Lietuvoje",2011-05-06,AUTOMOBILIS BMW
Notarinė,2012-08-02,VAIDA IVANAUSKAITĖ,,Deklaruojantysis,Teikiama dovana,VIOLETA BOREIKIENĖ,307000,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-02,DOVANOJAMAS BUTAS DUKRAI ASMENINĖS NUOSAVYBĖS TEISE
Rašytinė,,"SWEDBANK , AB",,Deklaruojantysis,Paskola (gauta),LILIJA PETRAITIENĖ,13845,"Juridiniai asmenys, registruoti Lietuvoje",2010-07-10,PINIGAI BANKO PASKOLA
Rašytinė,,ARTURAS KUBILIUS,,Sutuoktinis,Paskola (gauta),VALERIJONAS KUBILIUS,172640,"Fiziniai asmenys, registruoti Lietuvoje",2011-10-25,PINIGAI
Rašytinė,2022-09-30,"AB ""SWEDBANK""",112029651,Deklaruojantysis,Paskola (gauta),VILIJA VERTELIENĖ,60732,"Juridiniai asmenys, registruoti Lietuvoje",1997-09-18,PASKOLA BŪSTUI
Rašytinė,2012-11-19,"AB ""ŪKIO BANKAS""",112020136,Deklaruojantysis,Indėlis,VILIJA VERTELIENĖ,18791,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-19,INDĖLIS BANKE
Rašytinė,,VITALIJA KUBILIENĖ,,Sutuoktinis,Paskola (gauta),VALERIJONAS KUBILIUS,172640,"Fiziniai asmenys, registruoti Lietuvoje",2011-10-25,PINIGAI
Rašytinė,2011-11-07,"UŽDAROJI AKCINĖ BENDROVĖ ""ALYTAUS KERAMIKA""",153643973,Deklaruojantysis,Pirkimas,ARTŪRAS SKARDŽIUS,12707,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-29,STATYBINĖS MEDŽIAGOS
Rašytinė,2012-07-05,"UŽDAROJI AKCINĖ BENDROVĖ ""ALSEKA""",149717784,Deklaruojantysis,Pirkimas,ARTŪRAS SKARDŽIUS,12000,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-05,LANGAI
Rašytinė,2047-08-21,AB SEB BANKAS,112021238,Deklaruojantysis ir sutuoktinis,Paskola (gauta),AUKSĖ KONTRIMIENĖ,300000,"Juridiniai asmenys, registruoti Lietuvoje",2007-08-21,PASKOLA BŪSTUI
Rašytinė,,"UŽDAROJI AKCINĖ BENDROVĖ ""VILNIAUS MANFULA""",124548077,Deklaruojantysis,Paslauga,ARTŪRAS SKARDŽIUS,17595,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-22,SANTECHNIKOS DARBAI
Rašytinė,,MANTAS SKARDŽIUS,,Deklaruojantysis,Paskola (suteikta),ARTŪRAS SKARDŽIUS,415000,"Fiziniai asmenys, registruoti Lietuvoje",2004-07-01,PASKOLA
Rašytinė,2011-12-13,"UAB ""AGMEKA""",302327637,Sutuoktinis,Pirkimas,ARTŪRAS SKARDŽIUS,54000,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-25,STATYBINĖS MEDŽIAGOS
Rašytinė,2011-09-22,"UŽDAROJI AKCINĖ BENDROVĖ ""MONDESTA""",153715771,Sutuoktinis,Pirkimas,ARTŪRAS SKARDŽIUS,11029,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-22,STATYBINĖS MEDŽIAGOS
Notarinė,,"UAB ""RENOVACIJOS PARTNERIAI""",301589704,Sutuoktinis,Nuoma,ARTŪRAS SKARDŽIUS,60000,"Juridiniai asmenys, registruoti Lietuvoje",2010-05-06,ŽEMĖS NUOMA
Rašytinė,,"UAB ""SKOMINTA""",147895076,Sutuoktinis,Paslauga,ARTŪRAS SKARDŽIUS,10100,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-07,STATYBOS MONTAVIMO DARBAI
Rašytinė,,"UAB ""KORNELITA""",300028668,Sutuoktinis,Paskola (suteikta),ARTŪRAS SKARDŽIUS,440000,"Juridiniai asmenys, registruoti Lietuvoje",2004-06-09,PASKOLA
Notarinė,,TAMARA ŽUROVA,,Deklaruojantysis,Pirkimas,MINDAUGAS BASTYS,299000,"Fiziniai asmenys, registruoti Lietuvoje",2012-06-16,KOMERCINĖS PATALPOS
Rašytinė,,"UAB ""ROKRIDAS""",125831021,Deklaruojantysis,Pirkimas,MINDAUGAS BASTYS,8370,"Juridiniai asmenys, registruoti Lietuvoje",2008-04-18,VIRTUVĖS ĮRANGA
Rašytinė,,"AB ""SEB LIZINGAS""",123051535,Deklaruojantysis,Išsimokėtinas pirkimas,RIMANTAS VAITKUS,72000,"Juridiniai asmenys, registruoti Lietuvoje",2008-05-27,"AUTOMOBILIO ""ŠKODA SUPERB"" PIRKIMAS"
Rašytinė,2011-10-05,ROBERTAS JURKŠAITIS,,Deklaruojantysis,Pirkimas,DARIUS PETROŠIUS,20000,"Fiziniai asmenys, registruoti Lietuvoje",2011-10-05,KETURRATIS MOTOCIKLAS
Rašytinė,,"UAB ""VILNIAUS IMPLANTOLOGIJOS CENTRO KLINIKA""",300071744,Deklaruojantysis,Pirkimas,MINDAUGAS BASTYS,15000,"Juridiniai asmenys, registruoti Lietuvoje",2009-02-20,MEDICININĖ PASLAUGA
Rašytinė,2012-06-20,"""ŪKIO BANKO LIZINGAS""",234995490,Deklaruojantysis,Išsimokėtinas pirkimas,MINDAUGAS BASTYS,5000,"Juridiniai asmenys, registruoti Lietuvoje",2009-02-20,VONIOS ĮRANGA
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,1000,"Juridiniai asmenys, registruoti Lietuvoje",2008-04-14,NUOMOS OBJEKTAS - NEKILNOJAMASIS TURTAS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,825,"Juridiniai asmenys, registruoti Lietuvoje",2006-03-23,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,AB SWEDBANKAS,112029651,Deklaruojantysis,Paskola (gauta),SIGITA BURBIENĖ,14000,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-02,VARTOJIMO KREDITO LINIJA
Rašytinė,,SWEDBANK AB,112029651,Deklaruojantysis,Vertybinių popierių sandoriai,ARVYDAS MOCKUS,17805,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-09,"EAST CAPITAL BALKAN FUND, ISIN : SE0001244328"
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,396,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,7920,"Juridiniai asmenys, registruoti Lietuvoje",2006-03-23,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Notarinė,,SWEDBANK AB,144792473,Deklaruojantysis,Paskola (gauta),ARVYDAS MOCKUS,232000,"Juridiniai asmenys, registruoti Lietuvoje",2001-05-01,"KOMERCINĖS PATALPOS,VILNIAUS 158,ŠIAULIAI,"
Notarinė,2007-11-09,SWEDBANK AB,144792473,Deklaruojantysis,Paskola (gauta),ARVYDAS MOCKUS,97310,"Juridiniai asmenys, registruoti Lietuvoje",2001-12-13,"BUTAS, VILNIAUS 112-23, ŠIAULIAI"
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,2352,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,766,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Notarinė,2007-11-08,SWEDBANK,144792473,Deklaruojantysis,Paskola (gauta),ARVYDAS MOCKUS,168000,"Juridiniai asmenys, registruoti Lietuvoje",2003-08-07,"BUTAS, VILNIAUS 112-24, ŠIAULIAI"
Rašytinė,,ADB ERGO LIETUVA,110012799,Deklaruojantysis,Draudimas,ARVYDAS MOCKUS,50288,"Juridiniai asmenys, registruoti Lietuvoje",2005-01-01,KAUPIAMASIS GYVYBĖS DRAUDIMAS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,1218,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,8028,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,3241,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,"UAB ""AGROLINA""",174274846,Deklaruojantysis,Nuoma,MINDAUGAS BASTYS,2485,"Juridiniai asmenys, registruoti Lietuvoje",2006-01-03,NUOMOS OBJEKTAS - ŽEMĖS ŪKIO NAUDMENYS
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),MINDAUGAS BASTYS,200000,"Juridiniai asmenys, registruoti Lietuvoje",2004-06-20,PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),MINDAUGAS BASTYS,179000,"Juridiniai asmenys, registruoti Lietuvoje",2012-08-14,PASKOLA GAUTA
Rašytinė,2012-03-28,UAB FAUGA,,Deklaruojantysis,Pirkimas,ALIKAS MILKO,28000,"Juridiniai asmenys, registruoti Lietuvoje",2012-02-27,LANGŲ PIRKIMAS
Notarinė,,AB DNB,112029270,Deklaruojantysis,Paskola (gauta),ALIKAS MILKO,52000,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-24,PASKOLA
Kita,,UAB SWEDBANK,,Deklaruojantysis,Paskola (gauta),ALIKAS MILKO,29000,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-06,PASKOLA
Notarinė,,"SWEDBANK, AB",112029651,Deklaruojantysis,Paskola (gauta),DIANA ZVIEDRIENĖ,165965,"Juridiniai asmenys, registruoti Lietuvoje",2004-08-24,KREDITAS BUTO PIRKIMUI
Rašytinė,,DANSKE BANK A/S LIETUVOS FILIALAS,301694694,Deklaruojantysis,Paskola (gauta),RENATAS SALADŽIUS,300000,"Juridiniai asmenys, registruoti Lietuvoje",2004-09-20,PINIGAI
Rašytinė,2011-05-06,"UAB ""STIPRYBĖ & CO""",302433156,Deklaruojantysis,Pirkimas,GYTIS GRIGONIS,8900,"Juridiniai asmenys, registruoti Lietuvoje",2011-05-06,AUTOMOBILIS VW BORA
Rašytinė,,"AB BANKAS ""NORD/LB LIETUVA""",112029270,Deklaruojantysis,Paskola (gauta),EDVARDAS VITKAUSKAS,250000,"Juridiniai asmenys, registruoti Lietuvoje",2006-04-24,KREDITO SUTARTIS
Rašytinė,,"UAB ""PREKYBOS NAMAI ""EKSA""",177053867,Deklaruojantysis,Paskola (suteikta),EDVARDAS VITKAUSKAS,60612,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-07,AKCININKO PASKOLA BENDROVEI
Kita,,AB SEB BANKAS,112021238,Deklaruojantysis,Vertybinių popierių sandoriai,GYTIS GRIGONIS,3246,"Juridiniai asmenys, registruoti Lietuvoje",2008-08-28,INVESTICINIAI FONDAI
Rašytinė,,DANSKE BANK A/S LIETUVOS FILIALAS,301694694,Deklaruojantysis,Indėlis,GYTIS GRIGONIS,13477,"Juridiniai asmenys, registruoti Lietuvoje",2010-02-08,TERMINUOTI INDĖLIAI
Rašytinė,,"UAB ""PREKYBOS NAMAI ""EKSA""",177053867,Deklaruojantysis,Paskola (suteikta),EDVARDAS VITKAUSKAS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-01,AKCININKO PASKOLA BENDROVEI
Rašytinė,,"AB BANKAS ""NORD/LB LIETUVA""",112029270,Sutuoktinis,Paskola (gauta),EDVARDAS VITKAUSKAS,250000,"Juridiniai asmenys, registruoti Lietuvoje",2006-04-24,KREDITO SUTARTIS
Rašytinė,,"UAB ""SEB GYVYBĖS DRAUDIMAS""",110076645,Deklaruojantysis,Draudimas,GYTIS GRIGONIS,1174,"Juridiniai asmenys, registruoti Lietuvoje",2011-05-25,INVESTICINIS GYVYBĖS DRAUDIMAS
Notarinė,2012-09-03,DARIUS MONGIRDAS,,Deklaruojantysis,Paskola (gauta),DANIELIUS VALIAUGA,80000,"Fiziniai asmenys, registruoti Lietuvoje",2011-11-21,PINIGAI
Notarinė,2013-10-31,"AB ""DNB"" BANKAS",112029270,Deklaruojantysis,Paskola (gauta),DANIELIUS VALIAUGA,40000,"Juridiniai asmenys, registruoti Lietuvoje",2003-10-31,PINIGAI
Rašytinė,2012-09-03,"UAB ""MELINGA""",167565577,Deklaruojantysis,Paskola (suteikta),DANIELIUS VALIAUGA,59700,"Juridiniai asmenys, registruoti Lietuvoje",2009-10-26,PINIGAI
Rašytinė,,UAB GENERAL FINANCING,300515252,Deklaruojantysis,Išsimokėtinas pirkimas,ARŪNAS BALSEVIČIUS,14000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-10,PASKOLA
Rašytinė,2012-09-03,"UAB ""MELINGA""",167565577,Deklaruojantysis,Paskola (suteikta),DANIELIUS VALIAUGA,25826,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-20,PINIGAI
Rašytinė,2012-09-03,"UAB ""MELINGOS""KELIAI",167600971,Deklaruojantysis,Paskola (suteikta),DANIELIUS VALIAUGA,12000,"Juridiniai asmenys, registruoti Lietuvoje",2012-08-31,PINIGAI
Rašytinė,2012-01-19,GAMTOS TYRIMŲ CENTRAS,302470603,Deklaruojantysis,Autorinė sutartis,ARŪNAS BALSEVIČIUS,24000,"Juridiniai asmenys, registruoti Lietuvoje",2011-05-29,AUTORINĖ SUTARTIS
Rašytinė,,"UAB ""AUTODIS""",302439045,Deklaruojantysis,Paskola (suteikta),DAINIUS JUOZAITIS,49000,"Juridiniai asmenys, registruoti Lietuvoje",2009-11-24,PINIGAI
Rašytinė,,"UAB ""AUTODIS""",302439045,Deklaruojantysis,Paskola (suteikta),DAINIUS JUOZAITIS,30000,"Juridiniai asmenys, registruoti Lietuvoje",2009-12-14,PINIGAI
Rašytinė,,"UAB ""AUTODIS""",302439045,Deklaruojantysis,Paskola (suteikta),DAINIUS JUOZAITIS,35000,"Juridiniai asmenys, registruoti Lietuvoje",2010-12-29,PINIGAI
Rašytinė,,"UAB ""AUTODIS""",302439045,Deklaruojantysis,Paskola (suteikta),DAINIUS JUOZAITIS,20717,"Juridiniai asmenys, registruoti Lietuvoje",2011-04-13,PINIGAI
Rašytinė,,"UAB ""AUTODIS""",302439045,Deklaruojantysis,Paskola (suteikta),DAINIUS JUOZAITIS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2011-12-30,PINIGAI
Rašytinė,,"UAB ""AUTODIS""",302439045,Sutuoktinis,Paskola (suteikta),DAINIUS JUOZAITIS,45000,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-05,PINIGAI
Rašytinė,,PRANO PETROŠIAUS ĮMONĖ ''RIMTIJA'',179409970,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,35801,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-28,STATYBINĖS MEDŽIAGOS
Rašytinė,,AB 'ORLEN LIETUVA'',166451720,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,13480,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-30,DIZELINAS
Rašytinė,,UAB ''KVĖDARSTA'',176597054,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,16625,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-16,GRUNTO ATVEŽIMAS
Rašytinė,,UAB ''APASTATA'',179331571,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,127899,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-30,STATYBOS DARBAI RANGOS SUTARTIS
Rašytinė,,PRANO PETROŠIAUS ĮMONĖ ''RIMTIJA'',179409970,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,87562,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-30,STATYBINĖS MEDŽIAGOS
Rašytinė,,IĮ''DRAVENA'',300538443,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,47630,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-08,LANGAI
Rašytinė,,PRANO PETROŠIAUS ĮMONĖ ''RIMTIJA'',179409970,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,23944,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-26,STATYBINĖS MEDŽIAGOS
Rašytinė,,PRANO PETROŠIAUS ĮMONĖ ''RIMTIJA'',179409970,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,32619,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-26,STATYBIONĖS MEDŽIAGOS''
Rašytinė,,UAB ''VIJORITA'',300882857,Deklaruojantysis,Pirkimas,PRANAS PETROŠIUS,14000,"Juridiniai asmenys, registruoti Lietuvoje",2011-10-27,AUTOMOBILIS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Vertybinių popierių sandoriai,PRANAS PETROŠIUS,25000,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-21,RINKOS FONDO INVESTICINIAI VIENETAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Vertybinių popierių sandoriai,PRANAS PETROŠIUS,479482,"Juridiniai asmenys, registruoti Lietuvoje",2011-12-15,RINKOS FONDO INVESTCINIAI VIENETAI
Rašytinė,2012-08-06,UAB LIDMA,,Deklaruojantysis,Paskola (suteikta),RIMANTAS SINKEVIČIUS,10000,"Juridiniai asmenys, registruoti Lietuvoje",2012-08-06,PINIGAI
Rašytinė,,UAB SEB LIZINGAS,123051535,Deklaruojantysis,Išsimokėtinas pirkimas,ORINTA LEIPUTĖ,25485,"Juridiniai asmenys, registruoti Lietuvoje",2009-04-15,AUTOMOBILIO LIZINGAS
Rašytinė,,R.VAITKEVIČIAUS PREKYBOS ĮMONĖ,179363042,Deklaruojantysis,Pirkimas,ANTANAS NESTECKIS,45000,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-26,PIRKTAS LENGVASIS AUTOMOBILIS
Rašytinė,,UAB LUKOIL BALTIJA,110441713,Deklaruojantysis,Pirkimas,ANTANAS NESTECKIS,13746,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-20,PIRKTAS DYZELINIS KROSNINIS KURAS
Rašytinė,,AB DNB NORD BANKAS,112029270,Deklaruojantysis,Vertybinių popierių sandoriai,ANTANAS NESTECKIS,71336,"Juridiniai asmenys, registruoti Lietuvoje",2010-12-17,ĮSIGYTOS OBLIGACIJOS
Rašytinė,,STASYS LABANAUSKAS,,Deklaruojantysis,Paskola (suteikta),ANTANAS NESTECKIS,100000,"Fiziniai asmenys, registruoti Lietuvoje",2011-06-07,SUTEIKTA PASKOLA PINIGAI
